Sample;Package;Version;Model;Rank;QC;Drug A;Drug B;Synergy Score;Median (syn);MAD (syn);Mean (syn);SEM (syn);SD (syn);Median/MAD (syn);Mean/SD (syn);Maximum (syn);Antagonism Score;Median (ant);MAD (ant);Mean (ant);SEM (ant);SD (ant);Median/MAD (ant);Mean/SD (ant);Maximum (ant);EC50 (Drug A);EC50 (Drug B);bayesfactor;observation noise;kernel length scale;kernel amplitude;divergent;max_treedepth
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;35;PASS;Erlotinib;Paclitaxel (NSC 125973);5,66354445508757;5,66354445508757;3,46248044653016;5,62947709827966;0,113929846238787;3,16789220134531;1,63568994613765;1,77704280063345;16,6676617720484;0,118387112402557;0,118387112402557;0,175485347665839;0,517328138131204;0,0300607569630752;0,845320857046312;0,674626765010549;0,611990268332941;7,44193780009371;14716,0921958075;12,2158730225606;3,54802959335956;0,0632971371716777;9,64249177547957;0,32732713049019;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;36;PASS;Pictilisib (GDC-0941);Trametinib (GSK1120212);5,62686921477071;5,62686921477071;3,93887558514741;5,8134766649379;0,115535887990083;3,55482574919742;1,42854707977788;1,63537769516041;19,5240437617642;0,0536296455741992;0,0536296455741992;0,0794895370665126;0,468543783239501;0,0234737690737213;0,84642078158755;0,674675530306897;0,553558931245401;7,38026016358364;1755,89590798994;141,254427919497;4,12226175274569;0,0770719286381358;23,7482597180017;0,352841540151507;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;37;PASS;Trametinib (GSK1120212);Volasertib (BI 6727);5,61850916880738;5,61850916880738;3,02343418727717;5,53930156935469;0,159489145982253;3,07454010307196;1,85832031418129;1,80166973741133;17,784292745827;5,77173703193309;5,77173703193309;2,57713703160264;5,78161958262521;0,0998661397300787;2,59872342936884;2,23959260262689;2,2247921873046;15,911775879159;87,9606841967657;501,77231037819;16,1995050373108;0,0611052207757126;1,88833899535698;1,42495355352185;0;0
OVCAR-8 R1;bayesynergy;2.5.1;Bayesian;38;PASS;Niraparib (MK-4827);Palbociclib;5,52840161735923;5,52840161735923;4,05113189500909;5,55165921364879;0,139762708306624;3,65370046415472;1,36465604197437;1,51946563492345;21,2282325455089;0,175298152106997;0,175298152106997;0,259824437160793;0,56252915272053;0,0220922580494029;0,897422819169825;0,674679233495319;0,626827333453485;7,17056099238367;7850,12667365895;11388,2715794676;3,26256476890938;0,0872945489131681;8,07334340418116;0,626424498868659;0;0
OVCAR-8 R1;bayesynergy;2.5.1;Bayesian;39;PASS;Nutlin-3a;Paclitaxel (NSC 125973);5,44808572512991;5,44808572512991;2,73393147930793;5,45007933670438;0,0979692220115385;2,72158353037689;1,99276600981566;2,00254139648024;14,8034561843296;0,860104960603276;0,860104960603276;1,11394669098955;1,19310787411448;0,0373871101333953;1,22309831457419;0,772123987225299;0,975479942942975;7,74063445009459;26560,8938927425;12,8906792031999;9,8113193249306;0,0724167531006028;4,97725610888172;0,606815626844239;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;40;PASS;Nutlin-3a;Paclitaxel (NSC 125973);5,44475732430078;5,44475732430078;3,82845651727199;5,64222226208315;0,122306181444714;3,56345634128866;1,42218079263455;1,58335798750542;18,2865732838095;0,0231138101644859;0,0231138101644859;0,0342539513700529;0,355587143080441;0,0185402534787964;0,696394318852343;0,674777923130163;0,510611780501668;6,04628764272262;759739,424314413;9,79853236057961;3,93928702868065;0,0765695071663239;57,0193830262205;0,382907223156247;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;41;PASS;Sorafenib (Nexavar);Trametinib (GSK1120212);5,40998144615237;5,40998144615237;3,30897586208169;5,54276071389049;0,119481465153733;3,20215196760967;1,63494134488758;1,73094990016803;19,3644502059677;0,00413323518140203;0,00413323518140203;0,00612234657821315;0,312312973023982;0,0232554848474003;0,708346873451053;0,675106371160116;0,440904004421448;10,156653301618;6897,3504017686;57,4022221664851;4,70160643992863;0,0561100426985784;14,3451511108887;0,370265087972244;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;42;PASS;Selpercatinib (LOXO-292);Paclitaxel (NSC 125973);5,23877403230252;5,23877403230252;3,81406651640922;5,30370671729525;0,486736311811684;3,44680502128666;1,37354029085853;1,53873358291653;18,8509754741586;2,40322300881071;2,40322300881071;2,89818118425735;2,62442271303512;0,116152246191213;2,3399494918146;0,82921765618547;1,12157237676097;15,5911335234993;19889,3974574492;12,0390023104652;9,63526201143719;0,0768907055798882;5,58502992858052;0,711962051383126;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;43;PASS;Metformin;Paclitaxel (NSC 125973);5,19971630862788;5,19971630862788;3,02708358490687;5,19104044067778;0,0970370329258311;2,93602374790344;1,71773132877923;1,76805348633368;15,5664769783734;0,158057959602931;0,158057959602931;0,234296570963254;0,598176198266519;0,0293018010160752;0,961018114341431;0,674606371544891;0,62244008654971;7,46969961842097;31379867960,764;14,0845096398268;5,33397763613763;0,068613227255288;12,2801322543834;0,402055112874113;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;44;PASS;Alectinib (CH5424802);Niraparib (MK-4827);4,98467176906666;4,98467176906666;4,58934476425843;5,22373152383272;0,114489593870353;3,87855034669798;1,08614018451763;1,34682871538934;19,9121728998567;8,64160571097308e-05;8,64160571097308e-05;0,000104948053966984;0,219619992852429;0,0138003020686745;0,566149002963735;0,823417432179514;0,387919066716959;5,95458626815201;132101,417415645;8201,55695077641;3,38309289816437;0,0789505380163535;38,4830837213721;0,451389581726063;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;45;PASS;Paclitaxel (NSC 125973);Pictilisib (GDC-0941);4,932075571425;4,932075571425;3,77159737655339;5,13863632218061;0,0985357118037017;3,37814814526881;1,30768877984852;1,52114188085192;17,2311677836608;0,283744634170208;0,283744634170208;0,420625173058844;0,796523691951036;0,031721657671245;1,17754366507398;0,674578347526796;0,676428157677699;9,42295218464784;12,2119711206191;2063,6332946686;3,08377297016856;0,0894182591926697;19,8271685003877;0,389093502774678;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;46;PASS;TNKS1/2 inhibitor (OM-153);Trametinib (GSK1120212);4,90723605986732;4,90723605986732;2,05732627399926;4,97395645425807;0,0452962477648852;1,99983938825571;2,38524930240068;2,48717830183672;11,4964755831395;9,56847707353953e-05;9,56847707353953e-05;0,000132029024549399;0,183805749015772;0,0118058022329985;0,434908867239902;0,724725272052544;0,422630493101401;4,35778575940772;306,654449031015;51,6300793800918;17,92048057083;0,0451497882012451;25,9002276449677;0,33652405606691;0;0
OVCAR-8 R2;bayesynergy;2.5.1;Bayesian;47;PASS;Flunarizine 2HCl;Paclitaxel (NSC 125973);4,90571883889089;4,90571883889089;3,8816437791229;5,09903337339293;0,111843797678844;3,36521336269103;1,26382510040614;1,51522043129943;16,6722051536938;0,000705275735400293;0,000705275735400293;0,00104176925742486;0,234540747401081;0,0125522663716456;0,502009966594905;0,676998030392695;0,467203368474839;4,58514774527209;26897,6512594004;11,4193165684834;3,50505719392891;0,0696962119254455;12,4364701356668;0,304111978528702;0;1
OVCAR-8 R1;bayesynergy;2.5.1;Bayesian;48;PASS;Niclosamide (BAY2353);Olaparib (AZD2281);4,73241833390576;4,73241833390576;2,529156327873;4,68999110682813;0,093187825015052;2,4247762329909;1,8711450461766;1,93419727352925;12,3195164987549;8,83333976865617e-05;8,83333976865617e-05;0,000107041196431931;0,122284313603212;0,00819656091223975;0,311468420907692;0,825228048929122;0,392605816175031;3,22074239609679;2576,51114320461;18040,5759976667;7,99905526444547;0,0576378333800336;41,992704939421;0,486527323712167;0;0
OVCAR-8 R3;bayesynergy;2.5.1;Bayesian;49;PASS;Paclitaxel (NSC 125973);Selumetinib (AZD6244);4,72579768173068;4,72579768173068;4,00916754970609;4,9751558660481;0,0994152597458445;3,46078291320058;1,17874786302636;1,43758352006594;17,6217722137939;0,0820793325883979;0,0820793325883979;0,121664289800913;0,654019853143339;0,0310549485833673;1,18781768757658;0,674637831057164;0,550606258842371;10,307335694991;11,8096880205479;12388,4280373007;2,75977560715629;0,0876202703156483;24,0365426034464;0,403246653642342;0;0
