"Well","Drug","Concentration","Unit","PlateID"
"G2","Trametinib (GSK1120212)",8,"mM","M006"
"G3","Trametinib (GSK1120212)",0.8,"mM","M006"
"G4","Trametinib (GSK1120212)",0.08,"mM","M006"
"G5","Trametinib (GSK1120212)",0.008,"mM","M006"
"G6","Trametinib (GSK1120212)",8e-04,"mM","M006"
"G7","Vemurafenib (PLX4032)",10,"mM","M006"
"G8","Vemurafenib (PLX4032)",5,"mM","M006"
"G9","Vemurafenib (PLX4032)",2.5,"mM","M006"
"G10","Vemurafenib (PLX4032)",1.25,"mM","M006"
"G11","Vemurafenib (PLX4032)",0.625,"mM","M006"
"G12","Venetoclax (ABT-199)",10,"mM","M006"
"G13","Venetoclax (ABT-199)",5,"mM","M006"
"G14","Venetoclax (ABT-199)",2.5,"mM","M006"
"G15","Venetoclax (ABT-199)",1.25,"mM","M006"
"G16","Venetoclax (ABT-199)",0.625,"mM","M006"
"G17","Vinorelbine ditartrate (Navelbine)",10,"mM","M006"
"G18","Vinorelbine ditartrate (Navelbine)",1,"mM","M006"
"G19","Vinorelbine ditartrate (Navelbine)",0.1,"mM","M006"
"G20","Vinorelbine ditartrate (Navelbine)",0.01,"mM","M006"
"G21","Vinorelbine ditartrate (Navelbine)",0.001,"mM","M006"
"G22","Abemaciclib (LY2835219)",10,"mM","M006"
"G23","Abemaciclib (LY2835219)",2,"mM","M006"
"G24","Abemaciclib (LY2835219)",0.4,"mM","M006"
"H1","Abemaciclib (LY2835219)",0.08,"mM","M006"
"H2","Abemaciclib (LY2835219)",0.016,"mM","M006"
"H3","Adavosertib (MK-1775)",8,"mM","M006"
"H4","Adavosertib (MK-1775)",2.66666666666667,"mM","M006"
"H5","Adavosertib (MK-1775)",0.888888888888889,"mM","M006"
"H6","Adavosertib (MK-1775)",0.296296296296296,"mM","M006"
"H7","Adavosertib (MK-1775)",0.0987654320987654,"mM","M006"
"H8","Alectinib (CH5424802)",10,"mM","M006"
"H9","Alectinib (CH5424802)",5,"mM","M006"
"H10","Alectinib (CH5424802)",2.5,"mM","M006"
"H11","Alectinib (CH5424802)",1.25,"mM","M006"
"H12","Alectinib (CH5424802)",0.625,"mM","M006"
"H13","Alpelisib (BYL719)",8,"mM","M006"
"H14","Alpelisib (BYL719)",1.6,"mM","M006"
"H15","Alpelisib (BYL719)",0.32,"mM","M006"
"H16","Alpelisib (BYL719)",0.064,"mM","M006"
"H17","Alpelisib (BYL719)",0.0128,"mM","M006"
"H18","AZD7762",8,"mM","M006"
"H19","AZD7762",1.6,"mM","M006"
"H20","AZD7762",0.32,"mM","M006"
"H21","AZD7762",0.064,"mM","M006"
"H22","AZD7762",0.0128,"mM","M006"
"H23","AZD8055",7,"mM","M006"
"H24","AZD8055",1,"mM","M006"
"I1","AZD8055",0.142857142857143,"mM","M006"
"I2","AZD8055",0.0204081632653061,"mM","M006"
"I3","AZD8055",0.00291545189504373,"mM","M006"
"I4","Cucurbitacin I (JSI-124)",6,"mM","M006"
"I5","Cucurbitacin I (JSI-124)",1,"mM","M006"
"I6","Cucurbitacin I (JSI-124)",0.166666666666667,"mM","M006"
"I7","Cucurbitacin I (JSI-124)",0.0277777777777778,"mM","M006"
"I8","Cucurbitacin I (JSI-124)",0.00462962962962963,"mM","M006"
"I9","Everolimus (RAD001)",0.4,"mM","M006"
"I10","Everolimus (RAD001)",0.04,"mM","M006"
"I11","Everolimus (RAD001)",0.004,"mM","M006"
"I12","Everolimus (RAD001)",4e-04,"mM","M006"
"I13","Everolimus (RAD001)",4e-05,"mM","M006"
"I14","Flunarizine 2HCl",10,"mM","M006"
"I15","Flunarizine 2HCl",5,"mM","M006"
"I16","Flunarizine 2HCl",2.5,"mM","M006"
"I17","Flunarizine 2HCl",1.25,"mM","M006"
"I18","Flunarizine 2HCl",0.625,"mM","M006"
"I19","Gedatolisib (PKI-587)",2.5,"mM","M006"
"I20","Gedatolisib (PKI-587)",0.5,"mM","M006"
"I21","Gedatolisib (PKI-587)",0.1,"mM","M006"
"I22","Gedatolisib (PKI-587)",0.02,"mM","M006"
"I23","Gedatolisib (PKI-587)",0.004,"mM","M006"
"I24","Idasanutlin (RG-7388)",10,"mM","M006"
"J1","Idasanutlin (RG-7388)",5,"mM","M006"
"J2","Idasanutlin (RG-7388)",2.5,"mM","M006"
"J3","Idasanutlin (RG-7388)",1.25,"mM","M006"
"J4","Idasanutlin (RG-7388)",0.625,"mM","M006"
"J5","LJH-685",10,"mM","M006"
"J6","LJH-685",5,"mM","M006"
"J7","LJH-685",2.5,"mM","M006"
"J8","LJH-685",1.25,"mM","M006"
"J9","LJH-685",0.625,"mM","M006"
"J10","Luminespib (NVP-AUY922)",0.1,"mM","M006"
"J11","Luminespib (NVP-AUY922)",0.0333333333333333,"mM","M006"
"J12","Luminespib (NVP-AUY922)",0.0111111111111111,"mM","M006"
"J13","Luminespib (NVP-AUY922)",0.0037037037037037,"mM","M006"
"J14","Luminespib (NVP-AUY922)",0.00123456790123457,"mM","M006"
"J15","Nutlin-3a",10,"mM","M006"
"J16","Nutlin-3a",5,"mM","M006"
"J17","Nutlin-3a",2.5,"mM","M006"
"J18","Nutlin-3a",1.25,"mM","M006"
"J19","Nutlin-3a",0.625,"mM","M006"
"J20","Quinacrine",10,"mM","M006"
"J21","Quinacrine",5,"mM","M006"
"J22","Quinacrine",2.5,"mM","M006"
"J23","Quinacrine",1.25,"mM","M006"
