Sample;Drug;Status;Model;ED10;ED50;ED90;minED10;maxED90;avgED10;avgED90;medED10;medED90;Unit
OVCAR-8 R3;LJH-685;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Luminespib (NVP-AUY922);responder;LL.4;10,0809746668508;12,0547954820325;14,4150837509274;10,0809746668508;21,1199570819289;13,6615258713625;17,1477968387409;12,3069766246485;15,9083496833665;nM
OVCAR-8 R2;Luminespib (NVP-AUY922);responder;LL.4;18,5966263225883;19,8181722114259;21,1199570819289;10,0809746668508;21,1199570819289;13,6615258713625;17,1477968387409;12,3069766246485;15,9083496833665;nM
OVCAR-8 R3;Luminespib (NVP-AUY922);responder;LL.4;12,3069766246485;13,9922724276626;15,9083496833665;10,0809746668508;21,1199570819289;13,6615258713625;17,1477968387409;12,3069766246485;15,9083496833665;nM
OVCAR-8 R1;Mebendalzole;responder;LL.4;308,992896207129;604,888087040378;1184,1359537214;193,6442563918;2216,74785342164;244,554158366531;1660,04146428377;231,025322500665;1579,24058570828;nM
OVCAR-8 R2;Mebendalzole;responder;LL.4;231,025322500665;604,023646573041;1579,24058570828;193,6442563918;2216,74785342164;244,554158366531;1660,04146428377;231,025322500665;1579,24058570828;nM
OVCAR-8 R3;Mebendalzole;responder;LL.4;193,6442563918;655,179738456519;2216,74785342164;193,6442563918;2216,74785342164;244,554158366531;1660,04146428377;231,025322500665;1579,24058570828;nM
OVCAR-8 R1;Metformin;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Metformin;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Metformin;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;MK-2206 2HCl;responder;LL.4;544,645694362739;4067,74731805312;30380,4260545723;544,645694362739;30380,4260545723;6692,44167462012;20891,9519131239;9399,40094090529;16241,5268316762;nM
OVCAR-8 R2;MK-2206 2HCl;responder;LL.4;10133,2783885923;12754,554748564;16053,9028531233;544,645694362739;30380,4260545723;6692,44167462012;20891,9519131239;9399,40094090529;16241,5268316762;nM
OVCAR-8 R3;MK-2206 2HCl;responder;LL.4;9399,40094090529;12355,5907419838;16241,5268316762;544,645694362739;30380,4260545723;6692,44167462012;20891,9519131239;9399,40094090529;16241,5268316762;nM
OVCAR-8 R1;Navitoclax (ABT-263);responder;LL.4;1614,63990734567;3670,11971747752;8342,28033095035;1614,63990734567;1266665,43905876;7090,28731054355;637503,859694853;7090,28731054355;637503,859694853;nM
OVCAR-8 R2;Navitoclax (ABT-263);responder;LL.4;12565,9347137414;126161,940423271;1266665,43905876;1614,63990734567;1266665,43905876;7090,28731054355;637503,859694853;7090,28731054355;637503,859694853;nM
OVCAR-8 R3;Navitoclax (ABT-263);failed;NA;NA;NA;NA;1614,63990734567;1266665,43905876;7090,28731054355;637503,859694853;7090,28731054355;637503,859694853;nM
OVCAR-8 R1;Niclosamide (BAY2353);responder;LL.4;774,046774519132;2705,80321333912;9458,5640949988;766,773886421228;13051,5421889809;909,640218794591;10371,1525561265;774,046774519132;9458,5640949988;nM
OVCAR-8 R2;Niclosamide (BAY2353);responder;LL.4;766,773886421228;3163,47620949416;13051,5421889809;766,773886421228;13051,5421889809;909,640218794591;10371,1525561265;774,046774519132;9458,5640949988;nM
OVCAR-8 R3;Niclosamide (BAY2353);responder;LL.4;1188,09999544341;3197,13023516456;8603,35138439972;766,773886421228;13051,5421889809;909,640218794591;10371,1525561265;774,046774519132;9458,5640949988;nM
OVCAR-8 R1;Niraparib (MK-4827);responder;LL.4;1878,10529413363;6610,99565915647;23270,9336062794;1878,10529413363;23270,9336062794;2553,8734281624;16573,7077999115;2614,90462597579;14301,5248088295;nM
OVCAR-8 R2;Niraparib (MK-4827);responder;LL.4;2614,90462597579;6115,31874730302;14301,5248088295;1878,10529413363;23270,9336062794;2553,8734281624;16573,7077999115;2614,90462597579;14301,5248088295;nM
OVCAR-8 R3;Niraparib (MK-4827);responder;LL.4;3168,61036437777;6204,38440005432;12148,6649846254;1878,10529413363;23270,9336062794;2553,8734281624;16573,7077999115;2614,90462597579;14301,5248088295;nM
OVCAR-8 R1;Nutlin-3a;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R2;Nutlin-3a;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R3;Nutlin-3a;failed;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nM
OVCAR-8 R1;Olaparib (AZD2281);responder;LL.4;2219,23792605364;7601,14425548927;26034,7902829419;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;nM
OVCAR-8 R2;Olaparib (AZD2281);failed;NA;NA;NA;NA;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;nM
OVCAR-8 R3;Olaparib (AZD2281);failed;NA;NA;NA;NA;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;2219,23792605364;26034,7902829419;nM
OVCAR-8 R1;Paclitaxel (NSC 125973);responder;LL.4;3,30562902029469;13,4298474932865;54,5617195957625;2,20296136247652;54,5617195957625;3,18590905794507;43,5121853868505;3,30562902029469;38,1200086555697;nM
OVCAR-8 R2;Paclitaxel (NSC 125973);responder;LL.4;4,04913679106399;12,3806048481734;37,8548279092193;2,20296136247652;54,5617195957625;3,18590905794507;43,5121853868505;3,30562902029469;38,1200086555697;nM
OVCAR-8 R3;Paclitaxel (NSC 125973);responder;LL.4;2,20296136247652;9,16389143352815;38,1200086555697;2,20296136247652;54,5617195957625;3,18590905794507;43,5121853868505;3,30562902029469;38,1200086555697;nM
OVCAR-8 R1;Palbociclib;responder;LL.4;7673,99882330753;12071,2888226059;18988,276802467;7673,99882330753;19581,535444659;8857,7542955267;19297,7546303471;9216,58234092376;19323,4516439152;nM
OVCAR-8 R2;Palbociclib;responder;LL.4;9216,58234092376;13434,0922204449;19581,535444659;7673,99882330753;19581,535444659;8857,7542955267;19297,7546303471;9216,58234092376;19323,4516439152;nM
OVCAR-8 R3;Palbociclib;responder;LL.4;9682,68172234881;13678,5537263714;19323,4516439152;7673,99882330753;19581,535444659;8857,7542955267;19297,7546303471;9216,58234092376;19323,4516439152;nM
