Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A1;1;A;243;Cucurbitacin I (JSI-124);2222-07-3;1000;nM;5;M006;I5;E2;607960
OVCAR-8 R1;PID3-0726A1;1;A;243;Niraparib (MK-4827);1038915-60-4;5000;nM;5;M006;E1;E2;607960
OVCAR-8 R1;PID3-0726A1;1;A;881;DMSO;67-68-5;0.2;%;5;C008;A22;E3;2284320
OVCAR-8 R1;PID3-0726A1;1;A;881;Abemaciclib (LY2835219);1231929-97-7;400;nM;5;M006;G24;E3;2284320
OVCAR-8 R1;PID3-0726A1;1;A;1853;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;E4;758920
OVCAR-8 R1;PID3-0726A1;1;A;1853;Gemcitabine (LY-188011) HCl;122111-03-9;6000;nM;5;M006;C18;E4;758920
OVCAR-8 R1;PID3-0726A1;1;A;1739;Paclitaxel (NSC 125973);33069-62-4;62.5;nM;5;M006;E12;E5;1000240
OVCAR-8 R1;PID3-0726A1;1;A;1739;Gemcitabine (LY-188011) HCl;122111-03-9;375;nM;5;M006;C20;E5;1000240
OVCAR-8 R1;PID3-0726A1;1;A;1266;DMSO;67-68-5;0.2;%;5;C008;A24;E6;2252120
OVCAR-8 R1;PID3-0726A1;1;A;1266;Volasertib (BI 6727);755038-65-4;10;nM;5;M006;K24;E6;2252120
OVCAR-8 R1;PID3-0726A1;1;A;3573;Olaparib (AZD2281);763113-22-0;625;nM;5;M006;E9;E7;2156040
OVCAR-8 R1;PID3-0726A1;1;A;3573;Niraparib (MK-4827);1038915-60-4;625;nM;5;M006;E4;E7;2156040
OVCAR-8 R1;PID3-0726A1;1;A;634;DMSO;67-68-5;0.2;%;5;C008;A10;E8;2098200
OVCAR-8 R1;PID3-0726A1;1;A;634;Entrektinib (RXDX-101);1108743-60-7;1111.111;nM;5;M006;B24;E8;2098200
OVCAR-8 R1;PID3-0726A1;1;A;1944;DMSO;67-68-5;0.2;%;5;C008;A1;E9;2479760
